,hs300,zz500,P,flag_hs,flag_zz,rd_strategy,change,net_zz,net_hs,rd_zz,rd_hs,net_strategy
301,3216.28,6137.5,0.6461920809172117,0,1,0.036412484569907866,0,1.1330030164186198,0.883219736704801,0.036412484569907866,0.02579248009032331,0.9973638308382777
302,3218.09,6155.81,0.6486083354418994,0,1,0.002983299389001992,0,1.1363831036252388,0.8837167791648591,0.002983299389001992,0.0005627619485866209,1.0003392657454302
303,3221.89,6124.53,0.6423338749062015,0,1,-0.005081378405116577,0,1.130608711062538,0.884760293721887,-0.005081378405116577,0.001180824650646617,0.9952561634026812
304,3264.49,6286.58,0.655313654268527,0,1,0.02645917319369806,0,1.1605236827628453,0.8964586411243596,0.02645917319369806,0.013222052894419134,1.0215898186022483
305,3257.53,6323.43,0.6632925429667385,0,1,0.005861692685052988,0,1.167326315944927,0.8945473618304346,0.005861692685052988,-0.0021320328749665496,1.0275780641690737
306,3209.29,6228.97,0.6631612612014823,0,1,-0.014938095305870425,0,1.149888684184291,0.8813002191380571,-0.014938095305870425,-0.014808766151040875,1.0122280051122943
307,3185.73,6168.74,0.6608131409903599,0,1,-0.009669335379685617,0,1.1387700248476078,0.8748304288844831,-0.009669335379685617,-0.007341187614706035,1.0024404330501533
308,3230.1,6304.3,0.668718843748108,0,1,0.021975314245696875,0,1.163794853997214,0.8870148343832556,0.021975314245696875,0.01392773398875602,1.024469376579023
309,3218.45,6252.77,0.6641246883615377,0,1,-0.008173786145963868,0,1.1542822437428675,0.8838156384386826,-0.008173786145963868,-0.003606699482988196,1.016095582981777
310,3261.38,6344.23,0.6653953197138076,0,1,0.014627117261629463,0,1.1711660654751113,0.8956046068421604,0.014627117261629463,0.013338718948562311,1.0309581322230752
311,3275.83,6401.85,0.6700157390026469,0,1,0.00908226845495852,0,1.1818029100870937,0.8995727082498065,0.00908226845495852,0.004430639790518054,1.0403215707457478
312,3272.21,6384.35,0.6683840855960117,0,1,-0.002733584823137014,0,1.1785723515881406,0.8985786233296903,-0.002733584823137014,-0.0011050634495685108,1.0374777634887753
313,3228.45,6281.2,0.6655588991325008,0,1,-0.016156695669880317,0,1.1595305167785959,0.8865617293782301,-0.016156695669880317,-0.013373224823590268,1.0207155509998191
314,3238.3,6308.23,0.6668066293245669,0,1,0.0043033178373559355,0,1.1645203451344077,0.8892666289536846,0.0043033178373559355,0.0030509997057412974,1.0251080144373033
315,3181.03,6022.21,0.6382492578679493,0,1,-0.04534076912224183,0,1.1117200970275152,0.8735397661428957,-0.04534076912224183,-0.017685205200259402,0.9786288286293418
316,3160.6,5970.68,0.6360989407727775,0,1,-0.008556659432334635,0,1.1022074867731688,0.8679295023533999,-0.008556659432334635,-0.006422448074994702,0.9702550350320959
317,3174.9,6011.32,0.6383682225888894,0,1,0.006806594893713935,0,1.1097097666244524,0.8718564123969531,0.006806594893713935,0.004524457381509972,0.9768591679991455
318,3162.03,5978.08,0.6368852197660377,0,1,-0.005529567549223735,0,1.1035735515098692,0.8683221933577555,-0.005529567549223735,-0.0040536709817631245,0.9714575592436158
319,3179.16,6046.77,0.6429072342235802,0,1,0.011490311270508258,0,1.116253955126618,0.8730262471372003,0.011490311270508258,0.005417405906964712,0.9826199089854132
320,3165.92,6016.7,0.6420952435996448,0,1,-0.004972902888649711,0,1.1107029326087021,0.8693904227332394,-0.004972902888649711,-0.004164622101435533,0.9777334356015749
321,3160.58,5990.33,0.6393909473691366,0,1,-0.004382801203317466,0,1.1058349424591365,0.867924010171521,-0.004382801203317466,-0.001686713498761816,0.9734482243234965
322,3156.75,5985.59,0.6398118965974078,0,1,-0.0007912752719799743,0,1.1049599226142772,0.8668722573416744,-0.0007912752719799743,-0.0012118028969365646,0.9726779588150365
323,3213.54,6167.45,0.6519123291370477,0,1,0.030382969765720524,0,1.1385318865353997,0.882467307787365,0.030382969765720524,0.017990021382751298,1.0022308038294965
324,3209.46,6169.78,0.653560482188082,0,1,0.0003777898483166009,0,1.1389620123241175,0.8813469026840296,0.0003777898483166009,-0.001269627887003133,1.0026094364528535
325,3213.92,6203.82,0.6576738554496391,0,1,0.005517214552220651,0,1.1452459101129386,0.8825716592430679,0.005517214552220651,0.0013896418712182612,1.008141047825845
326,3130.35,5961.49,0.6441756304456518,0,1,-0.03906141699791421,0,1.1005109820528614,0.859622577261269,-0.03906141699791421,-0.02600251406382237,0.9687616299640055
327,3065.62,5743.65,0.6278450639603186,0,1,-0.0365412002704022,0,1.0602969898578907,0.8418471306095777,-0.0365412002704022,-0.020678198923443025,0.9333619172292095
328,3069.11,5738.9,0.6258799370467898,1,0,0.001138432030062475,1,1.0594201239796033,0.8428055163474798,-0.0008270002524527476,0.001138432030062475,0.9344244863314237
329,3082.81,5723.41,0.6187232628879755,1,0,0.00446383479249679,0,1.0565606181996727,0.8465676609346598,-0.0026991235254142376,0.00446383479249679,0.9385956028644709
330,3090.14,5726.46,0.6168811414351545,1,0,0.002377700863822163,0,1.0571236583952046,0.8485805455933481,0.0005328990933726185,0.002377700863822163,0.9408273024401814
331,3074.94,5714.31,0.6196881661765978,1,0,-0.004918870989663815,0,1.054880727780217,0.8444064873652358,-0.0021217296549700393,-0.004918870989663815,0.9361994943159248
332,3095.31,5812.54,0.6301295899386119,1,0,0.006624519502819615,0,1.073014314143199,0.8500002746090942,0.01719017694174796,0.006624519502819615,0.9424013661245505
333,3086.02,5790.34,0.6293087769938399,1,0,-0.0030013148925309707,0,1.068916119933098,0.8474491561262545,-0.003819328555158319,-0.0030013148925309707,0.9395729228696593
334,3068.04,5631.19,0.6072818662601112,1,0,-0.005826274619088689,0,1.0395364979269026,0.8425116846169479,-0.027485432634353213,-0.005826274619088689,0.9340987129963608
335,3062.5,5666.73,0.615380655925394,1,0,-0.0018057130937014776,0,1.0460973007299197,0.8409903502364386,0.006311277012496452,-0.0018057130937014776,0.9324119987194937
336,3078.22,5732.9,0.6218700030533029,1,0,0.0051330612244897544,0,1.0583125039228192,0.8453072051934074,0.011676928316683544,0.0051330612244897544,0.9371981265953697
337,3087.22,5809.48,0.6322200564152372,1,0,0.0029237676319431305,0,1.072449427914239,0.8477786870390002,0.013357986359434193,0.0029237676319431305,0.939938276142627
338,3063.56,5743.18,0.6284354254616424,1,0,-0.007663852916215852,0,1.060210226286776,0.8412814358760307,-0.011412381142546169,-0.007663852916215852,0.9327347274439485
